,Open,High,Low,Close,Adj Close,Volume,score,body_sentiment,title_sentiment,counts
2020-04-01,3.45,3.49,3.12,3.25,3.25,4568700,1.0,-0.65225,-0.05135,2
2020-04-02,3.26,3.35,2.85,2.85,2.85,4064300,,,,0
2020-04-03,2.85,2.94,2.57,2.8,2.8,3830400,,,,0
2020-04-04,2.85,2.94,2.57,2.8,2.8,3830400,,,,0
2020-04-05,2.85,2.94,2.57,2.8,2.8,3830400,,,,0
2020-04-06,2.86,3.2,2.83,3.09,3.09,3340500,18.5,0.058300000000000005,0.0,2
2020-04-07,3.39,3.44,3.1,3.27,3.27,2836900,,,,0
2020-04-08,3.23,3.67,3.2,3.41,3.41,2884500,15.0,-0.8873,0.5106,1
2020-04-09,3.6,4.25,3.49,3.89,3.89,5908600,6.0,-0.8074,0.0,1
2020-04-10,3.6,4.25,3.49,3.89,3.89,5908600,,,,0
2020-04-11,3.6,4.25,3.49,3.89,3.89,5908600,,,,0
2020-04-12,3.6,4.25,3.49,3.89,3.89,5908600,,,,0
2020-04-13,4.25,4.76,4.16,4.74,4.74,6844500,43.0,0.8851,0.0,1
2020-04-14,5.21,6.47,5.14,5.95,5.95,13506600,40.5,0.05401,-0.010260000000000009,10
2020-04-15,5.66,5.67,4.9,5.27,5.27,7499900,,,,0
2020-04-16,5.12,5.44,4.88,5.03,5.03,3371900,22.0,-0.9378,0.0,1
2020-04-17,5.22,5.28,4.43,4.88,4.88,5653200,14.0,-0.9731,0.0,2
2020-04-18,5.22,5.28,4.43,4.88,4.88,5653200,,,,0
2020-04-19,5.22,5.28,4.43,4.88,4.88,5653200,1.0,0.9735,0.0,1
2020-04-20,4.85,5.9,4.78,5.61,5.61,6085000,1.0,0.296,0.0,1
2020-04-21,5.23,5.3,4.76,4.78,4.78,4142100,,,,0
2020-04-22,5.14,5.17,4.83,4.89,4.89,2677800,1.0,0.6767,0.894,1
2020-04-23,4.75,4.89,4.58,4.7,4.7,2265900,1.0,0.4283666666666666,0.11333333333333334,3
2020-04-24,4.78,4.85,4.66,4.77,4.77,2236200,,,,0
2020-04-25,4.78,4.85,4.66,4.77,4.77,2236200,,,,0
2020-04-26,4.78,4.85,4.66,4.77,4.77,2236200,1.0,-0.7845,-0.4215,1
2020-04-27,4.85,5.99,4.81,5.82,5.82,7275100,4.0,0.4588,0.0,1
2020-04-28,5.92,6.04,5.06,5.64,5.64,5200200,1.0,0.9566,0.481,1
2020-04-29,5.83,6.09,5.45,6.04,6.04,3369600,1.0,0.9556,0.0,1
2020-04-30,5.87,5.98,5.64,5.73,5.73,2173300,1.0,-0.1007,0.0,1
2020-05-01,5.65,6.18,5.45,6.05,6.05,4005600,,,,0
2020-05-02,5.65,6.18,5.45,6.05,6.05,4005600,,,,0
2020-05-03,5.65,6.18,5.45,6.05,6.05,4005600,1.0,0.644,0.0,1
2020-05-04,5.84,5.93,5.4,5.48,5.48,4068100,1.0,-0.4653,0.0,1
2020-05-05,5.55,5.63,5.35,5.39,5.39,2105900,,,,0
2020-05-06,5.4,5.4,4.9,4.93,4.93,3369600,,,,0
2020-05-07,4.83,4.93,4.65,4.87,4.87,2500800,,,,0
2020-05-08,4.88,5.19,4.82,4.98,4.98,2353700,,,,0
2020-05-09,4.88,5.19,4.82,4.98,4.98,2353700,,,,0
2020-05-10,4.88,5.19,4.82,4.98,4.98,2353700,,,,0
2020-05-11,4.92,4.96,4.75,4.76,4.76,1699200,,,,0
2020-05-12,4.78,4.92,4.46,4.54,4.54,2639200,,,,0
2020-05-13,4.54,4.54,4.07,4.21,4.21,2882900,,,,0
2020-05-14,4.15,4.19,3.96,4.13,4.13,2004900,,,,0
2020-05-15,4.05,4.45,4.04,4.22,4.22,1940600,,,,0
2020-05-16,4.05,4.45,4.04,4.22,4.22,1940600,,,,0
2020-05-17,4.05,4.45,4.04,4.22,4.22,1940600,,,,0
2020-05-18,4.4,4.63,4.36,4.58,4.58,2371700,,,,0
2020-05-19,4.58,4.75,4.37,4.44,4.44,1840700,,,,0
2020-05-20,4.5,4.69,4.34,4.43,4.43,2543600,1.0,0.18495,0.0,2
